Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Бгиденко,Григорій,Васильович,Чоловіча,1998-02-08,Кіноактор,село Вугледар,"площа Академіка Сахарова, буд. 34 кв. 315, Соснівка , 89511",+380 73 812-46-43,zakhar55@example.com
Чекалюк,Златослава,Романівна,Жіноча,2001-07-21,Стиліст,хутір Кам'янка (Черкаська область),"набережна Львівський, буд. 260, Заставна, 65103",+380 (79) 962-59-87,hermanhaidenko@example.com
Гайда,Едита,Петрівна,Жіноча,1947-03-31,Круп'є,селище Ізмаїл,"сквер Морехідний, буд. 5 кв. 69, Запоріжжя, 56614",007 664-73-00,qishchenko@example.com
Данченко,Остап,Михайлович,Чоловіча,1944-12-01,Стропальник,село Сміла,"набережна Глазунова, буд. 670 кв. 8, Лубни, 14579",016 691 97 91,sdubenko@example.com
Слюсар,Єва,Романівна,Жіноча,1994-11-09,Кушнір,село Карлівка,"вулиця ім. К.Г. Паустовського, буд. 6, Приморськ (Україна), 67972",+380 93 072 27 27,hdeineka@example.net
Єфименко,Марина,Романівна,Жіноча,1997-10-16,Педагог,селище Благовіщенське,"шосе Заводська 4-та, буд. 524 кв. 6, Корець, 06751",+380 03 797-86-87,valenkobohuslava@example.net
Палій,Костянтин,Дмитрович,Чоловіча,1972-07-08,Фармацевт,селище Новояворівськ,"площа Учнівська, буд. 247, Новий Буг, 18350",+380 78 562 65 02,panteleimonderevianko@example.com
Єременко,Григорій,Євгенович,Чоловіча,1970-09-18,Юрист,селище Миронівка,"парк Гагарінське плато, буд. 3 кв. 239, Амвросіївка, 23063",+380 93 120 08 48,iefrem50@example.org
Яременко,Пилип,Леонідович,Чоловіча,1969-07-01,Ветеринар,селище Пирятин,"узвіз Академіка Вільямса, буд. 78 кв. 69, Новгород-Сіверський, 17077",+380 99 369-28-50,serhiibabenko@example.org
Салій,Валентин,Андрійович,Чоловіча,1990-04-02,Філолог,селище Підгородне,"парк Лесі Українки, буд. 030, Боково-Хрустальне, 06412",042 55 36,tazhazha@example.com
Рева,Хома,Петрович,Чоловіча,1999-08-05,Фотограф,село Белз,"узвіз Шевченка парк, буд. 90 кв. 029, Лутугине, 08495",696-61-73,ruslan24@example.net
Олійник,Едуард,Дмитрович,Чоловіча,1958-06-27,Няня,хутір Краматорськ,"провулок Березовий, буд. 65, Ічня, 87207",+380 43 053-50-39,bohdannacherinko@example.org
Бандурка,Орест,Федорович,Чоловіча,1965-06-12,Зоолог,село Рогатин,"парк Іспанський, буд. 0, Звенигородка, 37410",991-24-00,semenvasylenko@example.net
Баранець,Роман,Васильович,Чоловіча,1938-11-13,Художник,хутір Світлодарськ,"проспект Ялинкова, буд. 9, Сколе, 08907",+380 32 710-19-41,zhadaniaroslava@example.net
Бебешко,Венедикт,Григорович,Чоловіча,1953-10-11,Клоун,селище Добромиль,"площа Дальницьке, буд. 38, Дунаївці, 80836",089 173 76 04,panasshablii@example.org
Абраменко,Устим,Володимирович,Чоловіча,1989-07-17,Ґрунтознавець,село Вашківці,"узвіз Миколи Гефта, буд. 67, Остер , 82548",383 61 92,bohuslavbabko@example.com
Якименко,Віктор,Юрійович,Чоловіча,1986-03-11,Візажист,хутір Хрестівка,"вулиця Десята, буд. 3, Білгород-Дністровський, 57981",+380 85 146 91 22,eduardkorsun@example.org
Жайворон,Єлисей,Петрович,Чоловіча,1976-09-12,Паблік рилейшнз,місто Новомиргород,"парк Локомотивний 4-й, буд. 21, Сарни, 76768",534-50-76,volodymyrshchors@example.com
Черінько,Валерій,Федорович,Чоловіча,1957-02-15,Нотаріус,село Гнівань,"провулок Проектний 5-й, буд. 8, Новий Буг, 37078",+380 (08) 794-54-09,vhaivoronska@example.com
Шевченко,Маруся,Петрівна,Жіноча,1994-09-25,Гицель,хутір Герца,"шосе Паустовського, буд. 918 кв. 235, Авдіївка, 58954",+380 (70) 659-85-80,kgoliash@example.net
Шиян,Соломія,Михайлівна,Жіноча,1951-08-19,Живописець,хутір Стебник,"площа Золотий берег, буд. 71 кв. 38, Чугуїв, 55354",+380 98 519-85-87,jbandera@example.org
Ващук,Феофан,Сергійович,Чоловіча,2000-10-16,Гірник,село Пологи ,"вулиця Таїрова, буд. 9 кв. 68, Перещепине, 36203",047 584-96-09,olenazaichenko@example.net
Семенченко,Гаврило,Федорович,Чоловіча,2008-01-28,Модель,село Суходільськ,"набережна Ясна, буд. 88, Білицьке, 59229",283 77 71,tymofii28@example.org
Вертипорох,Охрім,Олександрович,Чоловіча,1961-04-29,Письменник,селище Вараш,"проспект Молоді, буд. 18, Кременчук, 58933",098 496 69 08,zoriansmyk@example.org
Шеремета,Єлисавета,Петрівна,Жіноча,1968-11-22,Фізик,селище Новодністровськ,"узвіз Моторна, буд. 2 кв. 4, Українськ, 05966",+380 (72) 224-38-00,tychynaamvrosii@example.net
Дерегус,Маруся,Степанівна,Жіноча,1961-03-18,Медик,місто Вознесенськ,"набережна Магнітогорський, буд. 121, Баштанка, 09043",041 951-79-93,makohonmarko@example.net
Балабан,Дан,Володимирович,Чоловіча,1942-09-13,Педагог,село Торецьк,"парк Плієва, буд. 4 кв. 6, Докучаєвськ, 56970",+380 74 222-51-34,svystunklavdiia@example.net
Дрозденко,Соломія,Степанівна,Жіноча,1955-11-09,Вчитель,місто Судова Вишня,"сквер Хвойний, буд. 960, Сокиряни, 02384",932-01-15,volodymyra18@example.net
Жарко,Леопольд,Макарович,Чоловіча,1945-10-20,Єгер,хутір Ізяслав,"парк Підйомний, буд. 06 кв. 140, Ківерці, 20571",095 242 43 13,varfolomii69@example.org
Рубець,Макар,Юрійович,Чоловіча,1970-11-23,Композитор,місто Рудки,"провулок Чорноморського козацтва, буд. 45, Красноперекопськ, 49220",+380 99 797 82 24,ievaderkach@example.com
Вахній,Аркадій,Федорович,Чоловіча,2005-05-06,Хімік,селище Решетилівка,"проспект Радіальна, буд. 552 кв. 96, Первомайськ, 63735",756 67 80,ievhendankiv@example.com
Бабійчук,Георгій,Миколайович,Чоловіча,1955-08-27,Кушнір,хутір Подільськ,"парк Павла Шклярука, буд. 9, Іршава, 01791",649 08 48,liubov35@example.net
Перепелиця,Ганна,Василівна,Жіноча,1973-03-14,Водій,село Федорівка,"шосе 9-та Суворовська, буд. 0 кв. 160, Радивилів, 48448",061-43-42,liubov10@example.org
Аврамчук,Ярина,Богданівна,Жіноча,1954-11-07,Графік,хутір Жданівка,"сквер Гагаріна, буд. 144 кв. 1, Сміла, 48167",+380 51 960-12-77,oksana14@example.com
Артеменко,Леопольд,Васильович,Чоловіча,2001-01-09,Музичний редактор,село Ізяслав,"парк Котляревського, буд. 6, Чорноморськ, 05924",+380 22 964-02-66,bshchors@example.org
Шаповал,Борис,Леонідович,Чоловіча,1939-08-02,Стиліст,селище Рожище,"вулиця Прорізний, буд. 266, Батурин, 97709",+380 (73) 026-02-44,adam58@example.com
Рябовіл,Трохим,Михайлович,Чоловіча,1971-08-04,Журналіст,село Турка,"узвіз Катерининська, буд. 73 кв. 3, Алупка, 41932",366-59-63,ilchenkozynovii@example.net
Онищенко,Спас,Дмитрович,Чоловіча,1950-11-09,Єгер,селище Селидове,"проспект Незалежності, буд. 835 кв. 75, Бахчисарай, 11988",+380 74 803-84-39,iushchenkoamvrosii@example.net
Дейнеко,Веніямин,Васильович,Чоловіча,1952-02-12,Секретар,хутір Богодухів,"сквер Восьмого березня 1-й, буд. 5, Знам'янка, 61752",080 979-83-53,nvertyporokh@example.net
Пилипенко,Орест,Миколайович,Чоловіча,1985-03-23,Медик,місто Галич,"шосе Уральський, буд. 275, Сорокине, 06167",019 106-66-65,fmazepa@example.com
